,alcohol_diario,alcohol_finde,tiempo_libre,tiempo_amigos,tiempo_estudio,faltas
339,2,3,3,3,2,4
340,1,3,3,4,3,4
341,2,2,3,3,2,0
342,1,3,3,3,2,11
343,1,2,3,1,2,0
344,1,2,3,3,3,4
345,2,3,4,3,3,7
346,1,2,3,2,3,9
347,2,3,4,5,3,0
348,1,3,4,3,3,0
349,5,5,5,5,1,10
350,3,3,4,4,2,8
351,2,3,5,4,2,2
352,2,3,3,3,1,7
353,3,3,4,4,1,4
354,1,3,5,5,2,4
355,1,1,3,4,2,0
356,1,2,3,3,2,4
357,1,2,2,3,2,2
358,1,2,3,2,1,4
359,1,1,3,2,3,0
360,1,4,3,4,2,0
361,2,3,4,3,2,2
362,1,3,3,2,2,0
363,1,1,3,4,2,0
364,1,2,2,2,2,0
365,2,4,3,4,2,4
366,2,2,2,2,3,0
367,1,2,2,1,1,0
368,1,2,2,3,1,0
369,4,2,2,2,2,10
370,1,1,2,2,2,4
371,2,3,3,3,1,3
372,1,1,4,3,3,8
373,1,3,5,5,1,14
374,1,1,4,4,3,0
375,1,2,3,2,3,2
376,1,1,4,3,3,4
377,3,4,4,3,2,4
378,1,2,1,3,2,0
379,2,3,5,4,2,17
380,1,4,2,4,2,4
381,1,3,4,3,1,5
382,1,1,4,3,2,2
383,1,3,3,2,1,0
384,4,3,4,3,1,14
385,1,3,3,3,3,2
386,2,2,4,3,1,7
387,1,2,4,2,3,0
388,1,1,3,4,2,0
389,1,1,1,1,2,0
390,4,5,5,4,2,11
391,3,4,4,5,1,3
392,3,3,5,3,1,3
393,3,4,4,1,1,0
394,3,3,2,3,1,5
