,educacion_m,educacion_p,trabajo_m,trabajo_p
148,4,4,teacher,teacher
149,2,1,services,other
150,1,1,other,other
151,2,1,at_home,other
152,3,3,services,services
153,3,2,services,at_home
154,4,4,other,teacher
155,2,3,at_home,services
156,1,2,other,other
157,1,1,at_home,other
158,2,2,at_home,other
159,3,3,other,services
160,2,1,at_home,other
161,3,2,other,other
162,1,2,other,other
163,1,3,at_home,services
164,1,1,other,services
165,3,2,services,services
166,2,2,other,other
167,4,2,health,services
168,2,2,other,other
169,4,4,health,health
170,3,4,other,other
171,1,0,other,other
172,4,4,teacher,other
173,1,3,at_home,services
174,3,3,other,other
175,4,3,teacher,other
176,2,2,services,other
177,3,3,other,other
178,4,2,teacher,services
179,4,3,other,other
180,4,3,teacher,other
181,3,3,services,other
182,2,4,services,services
183,3,3,other,other
184,3,2,other,other
185,3,3,services,services
186,1,2,services,services
187,2,1,other,other
188,3,3,health,other
189,1,2,at_home,other
190,2,3,services,services
191,1,1,at_home,services
192,1,2,at_home,services
193,3,3,services,services
194,2,3,other,other
195,2,4,services,services
196,4,4,services,teacher
197,3,3,teacher,other
198,4,4,services,teacher
199,4,4,teacher,teacher
200,4,3,health,other
201,2,3,other,other
202,1,1,other,other
203,2,2,other,other
204,2,2,services,services
205,3,4,at_home,services
206,3,1,services,other
207,4,3,teacher,other
208,1,1,at_home,other
209,4,3,teacher,other
210,3,3,other,other
211,4,4,services,other
212,2,2,other,other
213,2,2,services,other
214,4,4,services,other
215,3,2,other,other
216,4,3,other,other
217,3,3,services,health
218,2,3,at_home,other
219,2,2,at_home,at_home
220,2,1,at_home,services
221,1,1,at_home,other
222,2,3,services,teacher
223,2,2,other,other
224,4,4,teacher,services
225,3,1,other,other
226,3,2,other,other
227,2,3,services,services
228,2,1,at_home,other
229,2,1,other,other
230,4,3,health,other
231,2,2,other,other
232,4,4,teacher,teacher
233,4,4,health,other
234,1,1,other,other
235,3,2,at_home,other
236,2,2,other,other
237,2,1,other,other
238,2,1,at_home,services
239,2,2,other,services
240,4,3,health,other
241,4,4,teacher,other
242,4,3,teacher,other
243,4,4,services,services
244,2,1,other,other
245,2,1,other,other
246,2,3,other,other
247,3,1,services,services
248,3,3,other,services
249,0,2,other,other
250,3,2,services,other
251,3,3,at_home,other
252,2,1,services,services
253,2,1,other,other
254,2,1,other,other
255,1,1,health,other
256,4,2,teacher,services
257,4,3,services,at_home
258,2,1,other,other
259,2,2,services,services
260,4,3,services,other
261,4,3,teacher,other
262,3,2,other,other
263,3,3,other,other
264,2,2,at_home,services
265,3,4,other,other
266,3,1,services,other
267,4,4,teacher,other
268,4,2,health,other
269,2,1,other,other
270,3,3,other,services
271,2,3,other,services
272,1,1,other,other
273,1,2,at_home,at_home
274,2,4,at_home,health
275,2,2,services,other
276,3,2,other,services
277,4,4,teacher,services
278,4,4,health,health
279,4,3,teacher,services
280,4,1,services,other
281,3,2,teacher,services
282,1,1,at_home,other
283,1,1,other,other
284,2,2,other,other
285,1,1,other,other
286,2,2,at_home,at_home
287,1,1,services,teacher
288,2,1,services,services
289,4,4,teacher,teacher
290,4,2,teacher,other
291,4,3,health,services
292,2,1,services,at_home
293,3,1,services,other
294,3,2,services,other
295,3,3,health,other
296,4,4,health,other
297,4,3,other,other
298,4,3,other,other
299,4,4,teacher,teacher
300,4,4,health,other
301,4,4,other,teacher
302,4,2,other,other
303,3,2,health,health
304,3,3,other,other
305,2,4,services,at_home
306,3,2,services,other
307,4,4,teacher,services
308,3,3,other,services
309,1,1,at_home,other
310,1,2,services,services
311,2,1,at_home,other
312,1,2,other,services
313,3,2,services,other
314,1,1,at_home,health
315,2,3,other,other
316,2,1,services,other
317,4,3,other,other
318,3,4,at_home,services
319,4,4,teacher,other
320,4,3,services,services
321,2,2,other,other
322,2,2,services,services
323,3,1,services,services
324,0,2,at_home,at_home
325,4,4,other,other
326,3,3,other,services
327,2,2,services,other
328,4,4,teacher,services
329,4,4,teacher,teacher
330,2,2,other,other
331,2,4,at_home,other
332,3,3,services,services
333,2,2,other,other
334,2,2,at_home,other
335,3,4,services,other
336,3,1,services,at_home
337,3,2,other,other
338,3,3,services,services
339,3,2,other,other
340,2,1,services,services
341,4,4,teacher,services
342,3,4,services,other
343,2,2,at_home,at_home
344,2,3,at_home,other
345,3,2,other,services
346,4,3,teacher,services
347,4,3,teacher,other
348,4,3,health,other
349,3,2,other,other
350,1,1,other,services
351,3,3,health,other
352,1,3,at_home,services
353,1,1,other,other
354,4,3,services,other
355,3,3,services,services
356,4,4,teacher,services
357,3,2,services,other
358,1,1,other,services
359,1,1,at_home,services
360,1,4,at_home,other
361,1,1,at_home,other
362,3,3,services,services
363,4,4,at_home,at_home
364,1,2,other,services
365,1,3,at_home,other
366,4,4,teacher,services
367,1,1,other,services
368,2,3,at_home,services
369,4,4,other,teacher
370,3,2,services,services
371,1,2,at_home,services
372,2,2,other,at_home
373,1,2,other,other
374,4,4,other,other
375,1,1,other,other
376,4,2,health,other
377,4,4,teacher,services
378,3,3,other,other
379,3,1,at_home,other
380,4,4,teacher,teacher
381,2,1,other,other
382,2,3,other,services
383,1,1,other,services
384,4,2,other,other
385,2,2,at_home,other
386,4,4,teacher,at_home
387,2,3,services,other
388,3,1,teacher,services
389,1,1,other,other
390,2,2,services,services
391,3,1,services,services
392,1,1,other,other
393,3,2,services,other
394,1,1,other,at_home
