,genero,edad,direccion,actividades,internet,pareja,estado,custodia
96,M,16,town,yes,yes,no,together,mother
97,F,16,city,no,no,yes,together,mother
98,F,16,city,yes,yes,no,together,mother
99,F,16,city,no,yes,no,together,mother
100,M,16,city,yes,yes,no,together,mother
101,M,16,city,yes,yes,yes,together,father
102,M,15,city,yes,yes,no,together,mother
103,F,15,city,no,yes,no,together,mother
104,M,15,city,yes,yes,no,separate,mother
105,F,15,city,no,no,no,separate,father
106,F,15,city,no,yes,no,together,mother
107,M,16,city,yes,yes,no,together,father
108,M,15,town,yes,yes,yes,together,father
109,F,16,city,yes,yes,yes,together,mother
110,M,15,city,yes,yes,no,separate,mother
111,F,16,town,yes,yes,no,together,father
112,F,16,city,yes,yes,no,together,mother
113,M,15,city,no,yes,no,together,mother
114,M,15,town,yes,yes,yes,together,mother
115,M,16,city,yes,yes,no,together,father
116,M,15,city,yes,no,no,together,father
117,M,16,city,yes,yes,no,together,father
118,M,17,town,yes,yes,no,together,father
119,M,15,city,no,yes,no,together,father
120,F,15,city,no,yes,no,together,mother
121,M,15,city,yes,yes,no,together,father
122,F,16,city,yes,yes,yes,together,father
123,M,16,city,yes,yes,no,together,mother
124,F,16,city,no,yes,yes,together,mother
125,M,15,city,no,yes,no,together,father
126,F,15,city,yes,yes,yes,separate,mother
127,F,19,city,no,no,no,together,other
128,M,18,town,yes,yes,no,together,mother
129,M,16,town,yes,yes,no,together,mother
130,F,15,town,no,yes,yes,together,father
131,F,15,city,yes,yes,yes,together,mother
132,F,17,city,no,yes,yes,together,father
133,F,16,city,no,yes,no,separate,father
134,M,15,town,no,no,yes,together,mother
135,F,15,city,yes,yes,yes,together,mother
136,M,17,town,no,no,no,together,mother
137,F,16,city,yes,yes,yes,separate,other
138,M,16,city,no,no,yes,together,mother
139,F,15,city,yes,yes,no,together,mother
140,M,15,city,no,yes,no,together,father
141,M,16,city,yes,yes,no,together,father
142,F,15,city,yes,yes,no,together,mother
143,F,16,city,no,yes,no,together,mother
144,M,17,city,no,yes,no,together,mother
145,F,15,city,no,yes,no,together,father
146,F,15,city,no,yes,no,together,father
147,F,15,city,no,yes,no,together,mother
148,M,16,city,no,yes,yes,together,mother
149,M,15,city,no,yes,no,separate,mother
150,M,18,city,no,yes,yes,together,mother
151,M,16,city,yes,no,yes,together,mother
152,F,15,town,yes,yes,yes,together,other
153,M,19,city,no,yes,yes,together,mother
154,F,17,city,no,no,yes,together,mother
155,M,15,town,yes,no,no,together,mother
156,M,17,town,no,no,no,together,mother
157,F,18,town,yes,no,no,together,mother
158,M,16,town,no,no,no,together,mother
159,M,16,city,no,yes,yes,together,father
160,M,17,town,yes,yes,yes,together,mother
161,M,15,town,no,yes,yes,together,mother
162,M,16,city,yes,no,no,together,mother
163,M,17,city,no,yes,no,together,father
164,M,17,town,yes,no,yes,together,mother
165,M,16,city,yes,no,no,together,mother
166,M,16,city,no,yes,no,together,father
167,F,16,city,no,yes,yes,together,father
168,F,16,city,no,yes,no,together,mother
169,F,16,city,no,yes,yes,together,mother
170,M,16,city,yes,yes,no,together,father
171,M,16,city,yes,yes,yes,together,mother
172,M,17,city,yes,yes,no,together,mother
173,F,16,city,yes,yes,yes,together,mother
174,F,16,city,yes,yes,no,together,mother
175,M,17,city,yes,yes,no,together,mother
176,F,16,city,yes,yes,no,together,mother
177,M,17,city,yes,yes,no,together,father
178,M,16,town,yes,yes,yes,together,mother
179,M,17,city,yes,yes,yes,together,mother
180,M,16,city,yes,yes,no,together,mother
181,M,16,city,yes,yes,yes,together,mother
182,F,17,city,yes,no,no,together,father
183,F,17,city,yes,yes,yes,together,mother
184,F,16,city,no,yes,no,together,mother
185,M,17,city,yes,yes,yes,together,mother
186,M,16,city,yes,yes,yes,together,mother
187,M,16,city,yes,yes,yes,together,mother
188,F,17,city,no,yes,yes,separate,mother
189,M,17,town,no,no,no,together,mother
190,F,16,city,no,yes,no,together,mother
191,F,17,city,yes,yes,no,together,mother
192,M,17,city,yes,yes,no,together,other
193,M,16,town,yes,yes,no,together,mother
194,M,16,city,no,yes,no,together,father
195,F,17,city,yes,yes,yes,together,father
196,M,17,city,no,yes,no,together,mother
197,M,16,town,yes,yes,no,together,father
198,F,17,city,no,yes,no,together,mother
199,F,16,city,no,yes,no,together,mother
200,F,16,city,yes,yes,no,together,mother
201,F,16,city,yes,no,no,together,mother
202,F,17,city,no,no,no,together,mother
203,F,17,town,no,yes,no,together,mother
204,F,16,town,yes,yes,no,together,mother
205,F,17,city,no,yes,yes,together,mother
206,F,16,city,no,yes,no,separate,mother
207,F,16,city,yes,yes,yes,together,mother
208,F,16,city,no,no,no,together,mother
209,F,17,town,yes,yes,yes,together,mother
210,F,19,city,yes,yes,no,together,other
211,M,17,city,no,yes,yes,together,mother
212,F,16,city,no,yes,no,separate,mother
213,M,18,city,yes,yes,no,together,mother
214,F,17,town,no,no,no,together,mother
215,F,17,city,no,yes,no,together,mother
216,F,17,city,no,yes,yes,together,mother
217,M,18,city,no,yes,no,together,father
218,F,17,city,no,no,no,together,father
219,F,17,city,yes,yes,no,together,mother
220,F,17,town,yes,yes,no,together,mother
221,F,17,city,yes,no,yes,together,mother
222,F,16,city,no,yes,no,together,mother
223,M,18,city,no,yes,no,together,mother
224,F,16,city,yes,yes,no,together,mother
225,F,18,town,yes,yes,yes,together,mother
226,F,17,city,yes,yes,no,together,mother
227,M,17,city,no,yes,no,together,father
228,M,18,city,yes,yes,yes,together,mother
229,F,17,city,yes,yes,yes,separate,mother
230,F,17,city,yes,yes,yes,together,father
231,M,17,town,yes,yes,no,together,father
232,M,17,city,yes,yes,yes,together,mother
233,M,16,city,yes,yes,no,together,father
234,M,16,city,no,yes,no,together,mother
235,M,16,city,yes,yes,yes,together,mother
236,M,17,city,yes,yes,yes,together,father
237,F,16,city,no,yes,yes,together,mother
238,F,17,town,yes,no,no,together,mother
239,M,18,city,no,yes,no,together,father
240,M,17,city,yes,yes,yes,together,mother
241,M,17,town,no,yes,no,separate,mother
242,M,16,city,yes,yes,no,together,mother
243,M,16,city,yes,yes,no,together,mother
244,F,18,city,no,yes,yes,together,other
245,M,16,city,no,yes,no,together,mother
246,M,17,city,no,yes,no,together,father
247,M,22,city,no,yes,yes,together,mother
248,M,18,town,no,yes,yes,together,mother
249,M,16,city,no,yes,no,together,mother
250,M,18,city,no,yes,no,together,mother
251,M,16,city,no,yes,no,together,other
252,M,18,city,no,yes,no,together,mother
253,M,16,town,yes,no,no,together,mother
254,M,17,town,no,yes,no,together,mother
255,M,17,city,yes,yes,no,together,mother
256,F,17,city,yes,yes,no,together,mother
257,M,19,city,no,yes,no,separate,mother
258,M,18,city,yes,yes,no,together,mother
259,F,17,city,yes,yes,yes,together,father
260,F,18,city,no,yes,yes,together,father
261,M,18,city,no,yes,no,together,mother
262,M,18,town,yes,no,no,together,mother
263,F,17,city,yes,no,no,together,mother
264,F,18,city,yes,yes,yes,together,mother
265,M,18,town,yes,yes,no,separate,mother
266,M,17,city,yes,yes,yes,together,mother
267,F,18,town,yes,yes,no,together,mother
268,M,18,city,yes,yes,yes,together,father
269,F,18,town,no,yes,yes,together,mother
270,F,19,city,yes,yes,no,together,other
271,F,18,city,yes,yes,yes,together,father
272,F,18,city,no,no,no,together,mother
273,M,17,town,yes,no,yes,together,mother
274,F,17,city,no,yes,yes,together,mother
275,F,17,city,no,yes,yes,together,mother
276,F,18,town,no,yes,yes,separate,mother
277,M,18,city,yes,yes,no,together,mother
278,F,18,city,yes,yes,yes,together,father
279,M,18,city,yes,yes,no,together,mother
280,M,17,city,yes,yes,yes,separate,mother
281,M,17,city,no,yes,no,separate,mother
282,F,18,town,yes,no,no,together,mother
283,F,18,city,yes,yes,no,together,mother
284,F,17,city,no,yes,no,together,mother
285,M,17,city,no,yes,no,together,father
286,F,18,city,no,yes,no,together,mother
287,F,17,city,no,yes,no,together,mother
288,M,18,city,yes,yes,no,together,mother
289,M,18,city,yes,yes,no,separate,mother
290,M,18,city,yes,yes,yes,together,mother
291,F,17,city,no,yes,no,together,mother
292,F,18,city,no,yes,yes,together,mother
293,F,17,town,no,no,no,together,mother
294,M,18,town,yes,yes,no,together,mother
295,M,17,city,no,yes,no,together,mother
296,F,19,city,yes,yes,no,together,other
297,F,18,city,no,yes,yes,together,other
298,F,18,city,no,yes,no,together,father
299,M,18,city,no,yes,yes,together,mother
300,F,18,city,no,yes,yes,separate,mother
301,M,17,city,no,yes,no,together,father
302,F,17,city,no,yes,no,together,mother
303,F,17,city,yes,yes,no,together,father
304,M,19,city,yes,yes,yes,together,other
305,F,18,city,yes,yes,no,together,other
306,M,20,city,yes,no,no,separate,other
307,M,19,city,no,yes,yes,together,other
308,M,19,town,yes,no,yes,together,father
309,F,19,city,yes,yes,no,together,other
310,F,19,city,yes,no,yes,together,other
311,F,19,city,no,yes,yes,together,other
312,M,19,city,no,yes,no,together,other
313,F,19,city,no,yes,yes,together,other
314,F,19,city,no,yes,yes,together,other
315,F,19,town,no,yes,yes,together,other
316,F,18,city,yes,yes,no,together,mother
317,F,18,city,yes,yes,yes,together,mother
318,F,17,town,yes,yes,no,together,father
319,F,18,city,no,yes,no,together,mother
320,F,17,city,no,yes,yes,separate,mother
321,F,17,city,no,no,yes,together,mother
322,F,17,town,yes,yes,no,together,mother
323,F,17,city,no,yes,no,together,father
324,F,17,city,no,yes,no,together,father
325,M,18,city,yes,yes,no,together,mother
326,M,17,city,yes,yes,no,together,mother
327,M,17,town,no,yes,no,together,mother
328,F,17,city,yes,yes,no,together,mother
329,F,17,city,no,yes,yes,together,mother
330,M,18,city,yes,yes,no,together,mother
331,F,17,town,no,yes,yes,together,father
332,F,18,city,yes,yes,no,together,mother
333,F,18,city,yes,yes,yes,together,other
334,F,18,town,yes,no,no,together,mother
335,F,17,city,no,yes,no,together,mother
336,F,19,town,no,no,no,separate,other
337,F,17,city,no,yes,yes,together,mother
338,F,18,city,no,yes,no,together,mother
339,F,17,town,no,yes,no,separate,mother
340,F,19,city,yes,yes,yes,together,other
341,M,18,city,yes,yes,no,together,father
342,M,18,city,yes,yes,yes,together,mother
343,F,17,city,no,yes,yes,separate,father
344,F,18,city,no,yes,no,together,mother
345,F,18,city,no,yes,yes,together,mother
346,M,18,town,no,yes,yes,together,mother
347,M,18,city,no,yes,yes,together,mother
348,F,17,city,yes,yes,yes,together,mother
349,M,18,town,no,yes,no,together,mother
350,M,19,town,no,yes,no,together,other
351,M,17,city,no,yes,no,together,mother
352,M,18,city,no,yes,yes,together,mother
353,M,19,town,no,yes,no,together,other
354,M,17,town,yes,yes,yes,together,mother
355,F,18,city,no,no,yes,together,father
356,F,17,town,yes,yes,no,together,father
357,F,17,city,no,no,yes,separate,mother
358,M,18,city,no,yes,yes,together,father
359,F,18,city,no,yes,no,together,father
360,F,18,town,no,no,yes,separate,mother
361,M,18,town,yes,no,no,together,mother
362,F,18,city,no,yes,yes,together,mother
363,F,17,city,yes,yes,yes,together,mother
364,F,17,town,no,no,no,together,father
365,M,18,town,no,no,no,together,mother
366,M,18,city,no,yes,yes,together,mother
367,F,17,town,no,yes,yes,together,mother
368,F,18,city,no,yes,yes,together,father
369,F,18,town,no,yes,yes,together,father
370,F,19,city,yes,no,yes,together,other
371,M,18,town,yes,yes,yes,together,father
372,F,17,city,yes,no,yes,together,mother
373,F,17,town,yes,yes,no,together,mother
374,F,18,town,no,yes,no,together,mother
375,F,18,town,no,yes,no,together,mother
376,F,20,city,no,yes,yes,together,other
377,F,18,town,yes,yes,no,together,mother
378,F,18,city,no,yes,yes,together,mother
379,F,17,town,yes,yes,no,together,mother
380,M,18,city,yes,yes,no,together,father
381,M,18,town,yes,yes,yes,together,mother
382,M,17,city,yes,yes,no,together,father
383,M,19,town,no,no,no,together,mother
384,M,18,town,no,no,no,together,father
385,F,18,town,no,no,no,together,mother
386,F,18,town,yes,yes,yes,together,mother
387,F,19,town,yes,yes,no,together,mother
388,F,18,city,no,yes,no,together,mother
389,F,18,city,yes,no,no,together,mother
390,M,20,city,no,no,no,separate,other
391,M,17,city,no,yes,no,together,mother
392,M,21,town,no,no,no,together,other
393,M,18,town,no,yes,no,together,mother
394,M,19,city,no,yes,no,together,father
